titleType,primaryTitle,startYear,genres
tvEpisode,Episode #5.1,1973,Horror
movie,Corpse Eaters,1974,Horror
tvMovie,La Main enchantée,1974,Horror
movie,Kamay na gumagapang,1974,Horror
tvSeries,Monstrous Movie,1974,Horror
movie,Lucifer's Women,1974,Horror
movie,Des filles expertes en jeux clandestins,1974,Horror
movie,Perawan Malam,1974,Horror
tvEpisode,Frankenstein,1974,Horror
movie,Frankenstein's Castle of Freaks,1974,Horror
movie,"So Evil, My Sister",1974,Horror
movie,Vampyres,1974,Horror
movie,Pogled iz potkrovlija,1974,Horror
movie,Black Mamba,1974,Horror
movie,Blood Reincarnation,1974,Horror
movie,Bhoot Mera Saathi,1974,Horror
movie,A Young Lady's Resentment,1974,Horror
movie,Beyond the Door,1974,Horror
tvEpisode,Poor Mr. Ellis' Feet,1974,Horror
tvSeries,Things That Go Bump in the Night,1974,Horror
tvEpisode,Is Anybody There?,1974,Horror
tvEpisode,I See a Dark Stranger,1974,Horror
tvMovie,La zarpa,1974,Horror
movie,Lover of the Monster,1974,Horror
tvMovie,Haunted: Poor Girl,1974,Horror
movie,Enter the Devil,1974,Horror
movie,Seytan,1974,Horror
movie,Shriek of the Mutilated,1974,Horror
movie,Symptoms,1974,Horror
movie,The Texas Chain Saw Massacre,1974,Horror
movie,House of Whipcord,1974,Horror
tvMovie,Killer Bees,1974,Horror
movie,Lorna the Exorcist,1974,Horror
movie,Garden of Death,1974,Horror
movie,Seizure,1974,Horror
movie,Peopletoys,1974,Horror
movie,Let Sleeping Corpses Lie,1974,Horror
movie,The Bloody Exorcism of Coffin Joe,1974,Horror
movie,Frightmare,1974,Horror
movie,The House of Seven Corpses,1974,Horror
tvEpisode,Inntrengeren,1974,Horror
tvEpisode,Invisible Agent,1974,Horror
movie,Help Me... I'm Possessed,1974,Horror
movie,Legacy of Satan,1974,Horror
movie,Blood for Dracula,1974,Horror
movie,The Ghost Galleon,1974,Horror
movie,Messiah of Evil,1974,Horror
tvMovie,Haunted: The Ferryman,1974,Horror
tvMovie,House of Evil,1974,Horror
movie,Chilling,1974,Horror
tvEpisode,Attack of the Crab Monsters,1974,Horror
tvEpisode,I Was a Teenage Werewolf,1974,Horror
tvEpisode,The She-Creature,1974,Horror
tvEpisode,Night Monster,1974,Horror
tvEpisode,Chamber of Horrors,1974,Horror
tvEpisode,Bride of Frankenstein,1974,Horror
tvSeries,Chiller Theatre,1974,Horror
tvEpisode,Dr. Who and the Daleks,1974,Horror
tvEpisode,Fire Maidens of Outer Space,1974,Horror
tvEpisode,Day the World Ended,1974,Horror
tvEpisode,The Creation of the Humanoids,1974,Horror
tvEpisode,The Slime People,1974,Horror
tvEpisode,It Conquered the World,1974,Horror
tvEpisode,Girl in Possession,1974,Horror
movie,Lang nu,1974,Horror
tvMovie,Zakletva,1974,Horror
tvEpisode,Mr George & The Terror in Teakwood,1974,Horror
